,Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст
2452,SU167324,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,"Старший аналитик SOC, Тимлид",РМ,"3 г., 2 мес.,28 дн.",Женский,26
2453,SU156986,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Ведущий системный инженер,нет,"3 г., 8 мес.,22 дн.",Мужской,34
2464,SU54978,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Ведущий инженер-разработчик,нет,"12 г., 3 мес.,21 дн.",Мужской,51
2467,SU42104,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,"Руководитель группы, Технический менеджер",РМ,"13 г., 10 мес.,17 дн.",Мужской,38
2468,SU196964,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа специалистов поддержки ИТ-инфраструктур,Младший дежурный специалист,нет,"1 г., 3 мес.,21 дн.",Мужской,21
2471,SU153901,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,"Старший сервис-менеджер, Тимлид",ТЛ,"3 г., 11 мес.,16 дн.",Мужской,27
2484,SU154792,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Эксперт,нет,"3 г., 11 мес.,2 дн.",Мужской,34
2497,SU197958,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Специалист,нет,"0 г., 10 мес.,18 дн.",Женский,23
2507,SU194943,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Старший инженер технической поддержки,нет,"1 г., 10 мес.,27 дн.",Мужской,23
2510,SU196626,Департамент телекоммуникаций,,группа сетевых решений,Младший инженер,нет,"1 г., 5 мес.,29 дн.",Мужской,22
2517,SU174144,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа внедренцев,Консультант по внедрению,нет,"3 г., 0 мес.,18 дн.",Мужской,29
2518,SU196741,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа поддержки продаж решений по информационной безопасности,Менеджер по продвижению решений,нет,"1 г., 4 мес.,26 дн.",Мужской,31
2520,SU139631,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Старший администратор проектов,ТЛ,"4 г., 8 мес.,13 дн.",Женский,26
2522,SU196633,Департамент по работе с персоналом,,Геймификация,Менеджер по развитию корпоративной культуры,нет,"1 г., 5 мес.,29 дн.",Женский,22
2523,SU146744,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Ведущий администратор проектов,нет,"4 г., 3 мес.,9 дн.",Женский,31
2525,SU104859,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Эксперт,РМ,"6 г., 0 мес.,24 дн.",Мужской,39
2526,SU126042,Департамент продаж и менеджмента проектов,,группа управления проектами по инженерным и мультимедийным системам,Руководитель группы,РМ,"5 г., 1 мес.,28 дн.",Мужской,42
2531,SU198249,Департамент телекоммуникаций,Сервис,Первая линия,Стажер,нет,"0 г., 8 мес.,18 дн.",Мужской,22
2532,SU173702,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Старший инженер-тестировщик,нет,"3 г., 0 мес.,24 дн.",Мужской,34
2534,SU188752,Департамент разработки программного обеспечения,Государственные информационные системы,финтех.группа аналитиков,Системный аналитик,ТЛ,"2 г., 3 мес.,7 дн.",Женский,23
2539,SU1573,Департамент инфраструктурных решений и сервисов,,группа SRE-инженеров,Ведущий инженер,нет,"17 г., 2 мес.,10 дн.",Мужской,40
2542,SU197284,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Инженер-разработчик,нет,"1 г., 1 мес.,19 дн.",Мужской,23
2546,SU99997,Департамент инженерных и мультимедийных систем,Группа поддержки производства,,"Эксперт, Тимлид",нет,"5 г., 1 мес.,11 дн.",Женский,28
2548,SU107761,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Ведущий инженер,нет,"5 г., 10 мес.,15 дн.",Женский,39
2549,SU196951,Департамент телекоммуникаций,Сервис,Инженеры технической поддержки (аутсорсинг),Инженер технической поддержки,нет,"1 г., 3 мес.,15 дн.",Мужской,39
2563,SU75251,Департамент бизнес-приложений,группа технических менеджеров по BigData,,Старший технический менеджер,нет,"10 г., 0 мес.,5 дн.",Мужской,39
2574,SU189913,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Системный аналитик,нет,"2 г., 1 мес.,20 дн.",Женский,22
2579,SU1603,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Эксперт,нет,"19 г., 4 мес.,11 дн.",Мужской,39
2583,SU138283,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Старший системный аналитик,нет,"4 г., 9 мес.,2 дн.",Женский,45
2584,SU196318,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки СУБД,Ведущий инженер-разработчик,нет,"1 г., 7 мес.,24 дн.",Мужской,29
2587,SU189862,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Инженер-разработчик,нет,"2 г., 2 мес.,10 дн.",Мужской,23
2590,SU151957,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,Инженер-разработчик,нет,"4 г., 1 мес.,4 дн.",Мужской,26
2596,SU65368,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Ведущий инженер,нет,"11 г., 6 мес.,3 дн.",Мужской,40
2607,SU1620,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа технических менеджеров,"Технический менеджер, Руководитель группы",нет,"17 г., 0 мес.,22 дн.",Мужской,41
2608,SU197093,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Старший дежурный инженер ЦОД,нет,"1 г., 2 мес.,30 дн.",Мужской,22
2609,SU121849,Департамент телекоммуникаций,,группа технических менеджеров,Старший технический менеджер,нет,"5 г., 3 мес.,10 дн.",Мужской,38
2611,SU162083,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Старший менеджер проектов,РМ,"3 г., 6 мес.,11 дн.",Мужской,35
2643,SU43994,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Ведущий инженер-тестировщик,нет,"13 г., 5 мес.,26 дн.",Женский,48
2644,SU69215,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Системный инженер,нет,"11 г., 0 мес.,23 дн.",Мужской,33
2651,SU128619,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Младший технический менеджер,нет,"5 г., 1 мес.,9 дн.",Мужской,26
2653,SU197883,Департамент внутренней автоматизации,,группа аналитиков 1С,Системный аналитик,нет,"0 г., 10 мес.,21 дн.",Женский,36
2657,SU191024,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Сервис-менеджер,нет,"2 г., 0 мес.,21 дн.",Мужской,30
2663,SU169662,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа внедренцев,Консультант по внедрению,нет,"3 г., 1 мес.,25 дн.",Мужской,23
2665,SU70100,Департамент внутренней автоматизации,,центральная служба технической поддержки,Старший инженер технической поддержки,нет,"10 г., 10 мес.,20 дн.",Мужской,29
2689,SU173162,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Консультант по внедрению бизнес-приложений,нет,"3 г., 1 мес.,4 дн.",Мужской,24
2690,SU173967,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа внедренцев,Старший консультант по внедрению,ТЛ,"3 г., 1 мес.,3 дн.",Мужской,28
2691,SU198298,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Старший инженер технической поддержки,нет,"0 г., 8 мес.,13 дн.",Мужской,34
2694,SU171222,Департамент продаж и менеджмента проектов,,группа управления проектами и поддержки продаж,Менеджер проектов,нет,"3 г., 1 мес.,25 дн.",Женский,25
2696,SU197606,Департамент маркетинга,группа контента,,Контент-маркетолог,нет,"1 г., 0 мес.,9 дн.",Женский,23
2697,SU130789,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа аналитиков и внедренцев,Системный аналитик,нет,"5 г., 0 мес.,2 дн.",Женский,27
2702,SU1689,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по вычислительной инфраструктуре,,Старший менеджер проектов,нет,"20 г., 8 мес.,26 дн.",Мужской,41
2703,SU196997,Департамент разработки программного обеспечения,,группа системных инженеров,Младший системный инженер,нет,"1 г., 3 мес.,14 дн.",Мужской,21
2705,SU178402,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Консультант по внедрению бизнес-приложений,нет,"2 г., 10 мес.,26 дн.",Женский,25
2720,SU196702,Департамент разработки программного обеспечения,,группа системных инженеров,Системный инженер,нет,"1 г., 5 мес.,7 дн.",Мужской,21
2730,SU41695,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Ведущий инженер,нет,"13 г., 11 мес.,23 дн.",Мужской,49
2752,SU93742,Департамент телекоммуникаций,,группа сетевых решений,Ведущий инженер,нет,"7 г., 1 мес.,27 дн.",Мужской,41
2764,SU148060,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Инженер,нет,"4 г., 2 мес.,22 дн.",Мужской,23
2766,SU93960,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа внедренцев,Старший консультант по внедрению,нет,"7 г., 0 мес.,29 дн.",Мужской,33
2769,SU81405,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Старший инженер,нет,"9 г., 2 мес.,1 дн.",Мужской,29
2772,SU197776,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Младший инженер технической поддержки,нет,"0 г., 11 мес.,25 дн.",Женский,22
2776,SU189733,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Дежурный инженер,нет,"2 г., 2 мес.,14 дн.",Женский,22
2793,SU148681,Департамент продаж и менеджмента проектов,,группа управления проектами развития бизнес-процессов,Менеджер проектов,нет,"4 г., 1 мес.,30 дн.",Мужской,37
2800,SU85431,Департамент телекоммуникаций,,группа сетевых решений,Системный инженер,нет,"8 г., 8 мес.,27 дн.",Мужской,29
2809,SU88595,Департамент внутренней автоматизации,,центральная служба технической поддержки,Инженер технической поддержки,нет,"7 г., 1 мес.,28 дн.",Мужской,30
2827,SU197110,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Пресейл-инженер,нет,"1 г., 2 мес.,10 дн.",Женский,24
2836,SU942,Департамент телекоммуникаций,,группа сетевых решений,Инженер,нет,"17 г., 3 мес.,20 дн.",Женский,40
2838,SU76730,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Старший системный инженер,нет,"8 г., 7 мес.,10 дн.",Мужской,35
2843,SU112065,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа специалистов поддержки ИТ-инфраструктур,Инженер,нет,"5 г., 3 мес.,7 дн.",Мужской,25
2847,SU755,Департамент продаж и менеджмента проектов,,группа сметчиков,Ведущий инженер-сметчик,нет,"17 г., 1 мес.,15 дн.",Женский,40
2854,SU42049,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,Руководитель направления,РМ,"13 г., 10 мес.,24 дн.",Мужской,36
2858,SU139550,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Старший менеджер проектов,нет,"4 г., 7 мес.,14 дн.",Женский,32
2861,SU151338,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Администратор проектов,нет,"4 г., 1 мес.,11 дн.",Женский,26
2862,SU72283,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Старший инженер-тестировщик,нет,"9 г., 4 мес.,8 дн.",Мужской,34
2866,SU196505,Департамент инфраструктурных решений и сервисов,группа разработки частных облаков,,Старший инженер-разработчик,нет,"1 г., 5 мес.,1 дн.",Женский,24
2870,SU191298,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Системный инженер,нет,"2 г., 1 мес.,3 дн.",Мужской,25
2880,SU196364,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Ведущий инженер,нет,"1 г., 7 мес.,5 дн.",Мужской,30
2881,SU84101,Департамент по работе с персоналом,отдел кадров,,Ведущий HR-менеджер,нет,"8 г., 11 мес.,20 дн.",Женский,32
2887,SU176088,Департамент маркетинга,группа контента,,"Ведущий контент-маркетолог, Тимлид",ТЛ,"3 г., 0 мес.,3 дн.",Женский,30
2893,SU65112,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа технических менеджеров,Младший технический менеджер,нет,"11 г., 6 мес.,16 дн.",Женский,35
2900,SU160986,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Старший системный инженер,нет,"3 г., 6 мес.,25 дн.",Мужской,25
2903,SU197912,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Специалист по продвижению решений,нет,"0 г., 10 мес.,18 дн.",Женский,30
2926,SU171483,Департамент бизнес-приложений,,группа консультантов по финансам,Консультант по внедрению бизнес-приложений,нет,"3 г., 1 мес.,29 дн.",Женский,23
2927,SU1199,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Руководитель группы,РМ,"19 г., 7 мес.,8 дн.",Женский,44
2929,SU86351,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Эксперт,нет,"5 г., 6 мес.,29 дн.",Мужской,33
2930,SU196352,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Технический писатель,нет,"1 г., 7 мес.,16 дн.",Мужской,37
2931,SU1388,Финансовый департамент,отдел налоговой и бухгалтерской отчетности,,Главный бухгалтер,нет,"19 г., 7 мес.,4 дн.",Женский,45
2933,SU2298,Департамент продаж и менеджмента проектов,,группа управления проектами по программному консалтингу,Старший менеджер проектов,нет,"21 г., 1 мес.,30 дн.",Мужской,43
2939,SU196990,Департамент внутренней автоматизации,,группа консультантов,Младший консультант по внедрению,нет,"1 г., 3 мес.,15 дн.",Мужской,21
2940,SU198186,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа специалистов поддержки ИТ-инфраструктур,Младший дежурный специалист,нет,"0 г., 8 мес.,17 дн.",Мужской,21
2943,SU178040,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Инженер технической поддержки,нет,"2 г., 11 мес.,2 дн.",Мужской,23
2951,SU90392,Департамент маркетинга,группа маркетинговых исследований,,Ведущий менеджер по маркетинговым исследованиям,нет,"7 г., 10 мес.,23 дн.",Женский,30
2952,SU94086,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Старший инженер-разработчик встраиваемых систем,нет,"7 г., 1 мес.,6 дн.",Мужской,29
2958,SU163106,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Старший инженер по автоматизации тестирования,нет,"3 г., 5 мес.,7 дн.",Мужской,28
2961,SU196811,Департамент инженерных и мультимедийных систем,Группа систем безопасности,,Ведущий инженер,нет,"1 г., 4 мес.,5 дн.",Мужской,38
2971,SU187392,Департамент бизнес-приложений,,Группа аналитиков по автоматизации бизнес-процессов,Младший консультант по внедрению бизнес-приложений,нет,"2 г., 5 мес.,2 дн.",Мужской,21
2974,SU196132,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа системных инженеров,Ведущий системный инженер,нет,"1 г., 9 мес.,5 дн.",Мужской,33
2977,SU126214,Департамент разработки программного обеспечения,Продуктовый офис,,Менеджер продукта,нет,"5 г., 1 мес.,23 дн.",Мужской,32
2988,SU122631,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Системный инженер,нет,"5 г., 3 мес.,3 дн.",Мужской,26
3005,SU158552,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Ведущий пресейл-специалист,нет,"3 г., 8 мес.,10 дн.",Женский,29
3008,SU93175,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Руководитель группы,РМ,"7 г., 3 мес.,15 дн.",Мужской,29
3009,SU197049,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Младший инженер-разработчик,нет,"1 г., 2 мес.,7 дн.",Мужской,22
3010,SU158754,Служба качества,,,Старший специалист,нет,"3 г., 7 мес.,24 дн.",Женский,29
3012,SU180290,Департамент телекоммуникаций,,группа унифицированных коммуникаций,Ведущий инженер,нет,"2 г., 9 мес.,15 дн.",Мужской,46
3014,SU80706,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,"Ведущий аналитик, Руководитель группы",РМ,"9 г., 3 мес.,11 дн.",Женский,36
3021,SU197555,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа внедренцев,Младший консультант по внедрению,нет,"1 г., 0 мес.,23 дн.",Мужской,25
3025,SU165750,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Системный инженер,нет,"2 г., 4 мес.,24 дн.",Мужской,24
3027,SU128194,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Старший инженер-разработчик,нет,"5 г., 1 мес.,9 дн.",Мужской,27
3033,SU86537,Правовой департамент,группа комплексного сопровождения проектов,,Ведущий юрист,нет,"8 г., 5 мес.,21 дн.",Женский,32
3041,SU93394,Правовой департамент,группа комплексного сопровождения проектов,,Ведущий юрист,нет,"7 г., 2 мес.,30 дн.",Мужской,31
3043,SU194851,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,,Менеджер по продвижению решений,нет,"1 г., 10 мес.,24 дн.",Мужской,29
3046,SU167486,Департамент инфраструктурных решений и сервисов,группа разработки частных облаков,,Ведущий инженер-разработчик,нет,"3 г., 2 мес.,22 дн.",Мужской,42
3055,SU189116,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Старший системный инженер,нет,"2 г., 2 мес.,24 дн.",Мужской,40
3057,SU153702,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Старший консультант по внедрению бизнес-приложений,нет,"3 г., 11 мес.,9 дн.",Мужской,41
3061,SU198237,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Технический менеджер,нет,"0 г., 7 мес.,21 дн.",Мужской,34
3063,SU84962,Департамент бизнес-приложений,,группа консультантов по финансам,Руководитель группы,РМ,"8 г., 10 мес.,4 дн.",Женский,31
3065,SU97156,Департамент по работе с персоналом,,отдел обучения,Руководитель корпоративного университета,РМ,"6 г., 9 мес.,29 дн.",Женский,29
3075,SU147920,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Старший системный инженер,нет,"4 г., 2 мес.,27 дн.",Мужской,25
3078,SU165854,Департамент инфраструктурных решений и сервисов,группа клиентского сервиса,,Старший специалист,нет,"3 г., 3 мес.,6 дн.",Женский,26
3083,SU99066,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,"Старший системный инженер, Тимлид",ТЛ,"6 г., 7 мес.,20 дн.",Мужской,34
3089,SU40550,Департамент бизнес-приложений,,группа управления и развития бизнеса,Руководитель группы,РМ,"12 г., 9 мес.,26 дн.",Мужской,37
3090,SU43451,Служба качества,,,Менеджер проектов по качеству,нет,"13 г., 7 мес.,10 дн.",Женский,36
3091,SU2722,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,"Эксперт, Руководитель электролаборатории",нет,"17 г., 11 мес.,18 дн.",Мужской,46
3095,SU149121,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Ведущий консультант по внедрению бизнес-приложений,РМ,"4 г., 1 мес.,28 дн.",Женский,38
3101,SU134170,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Эксперт,нет,"4 г., 11 мес.,6 дн.",Мужской,37
3102,SU3551,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,,Менеджер по продвижению решений,нет,"16 г., 11 мес.,6 дн.",Мужской,40
3104,SU153846,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа внедренцев,Консультант по внедрению,нет,"3 г., 11 мес.,23 дн.",Мужской,26
3114,SU196959,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Младший инженер,нет,"1 г., 3 мес.,19 дн.",Мужской,25
3115,SU196740,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Инженер технической поддержки,нет,"1 г., 5 мес.,3 дн.",Мужской,20
3118,SU104171,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Старший инженер-тестировщик,нет,"6 г., 2 мес.,16 дн.",Женский,28
3120,SU196289,Департамент маркетинга,группа маркетологов,,Младший менеджер по маркетингу,нет,"1 г., 8 мес.,11 дн.",Женский,22
3129,SU106862,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Ведущий системный инженер,нет,"3 г., 0 мес.,15 дн.",Мужской,31
3131,SU194794,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Младший инженер-разработчик,нет,"1 г., 11 мес.,4 дн.",Мужской,22
3136,SU121051,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа внедренцев,Консультант по внедрению,нет,"5 г., 3 мес.,1 дн.",Мужской,33
3137,SU150841,Департамент продаж и менеджмента проектов,,группа управления проектами развития бизнес-процессов,Старший менеджер проектов,нет,"4 г., 0 мес.,27 дн.",Мужской,34
3144,SU172682,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по сетевой безопасности,Ведущий системный инженер,ТЛ,"3 г., 1 мес.,12 дн.",Мужской,38
3147,SU191861,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Технический менеджер,нет,"2 г., 0 мес.,26 дн.",Мужской,39
3148,SU60053,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Старший инженер,нет,"12 г., 0 мес.,8 дн.",Мужской,35
3149,SU104387,Департамент внутренней автоматизации,,группа разработки инфраструктурных приложений,Ведущий инженер-разработчик,РМ,"6 г., 2 мес.,4 дн.",Мужской,25
3155,SU196772,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Младший системный инженер,нет,"1 г., 4 мес.,25 дн.",Женский,22
3164,SU134181,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,"Инженер, Тимлид",ТЛ,"4 г., 11 мес.,20 дн.",Мужской,28
3171,SU145461,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа внедренцев,Младший консультант по внедрению,нет,"4 г., 4 мес.,7 дн.",Мужской,28
3172,SU72583,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа внедренцев,Ведущий консультант по внедрению,нет,"4 г., 11 мес.,10 дн.",Мужской,31
3174,SU183834,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по вычислительной инфраструктуре,,Ведущий технический писатель,нет,"2 г., 8 мес.,17 дн.",Женский,25
3182,SU2785,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Руководитель группы,РМ,"18 г., 1 мес.,6 дн.",Мужской,39
3183,SU197924,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Сервис-менеджер,нет,"0 г., 10 мес.,14 дн.",Женский,24
3184,SU193280,Департамент продаж и менеджмента проектов,,группа управления проектами по разработке программных решений,Старший менеджер проектов,нет,"1 г., 11 мес.,24 дн.",Мужской,41
3196,SU171713,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Системный инженер,нет,"3 г., 1 мес.,11 дн.",Мужской,25
3197,SU78638,Департамент разработки программного обеспечения,Государственные информационные системы,росстат.группа тестировщиков,Ведущий инженер-тестировщик,нет,"9 г., 7 мес.,2 дн.",Женский,31
3203,SU196712,Департамент по работе с персоналом,отдел кадров,,Младший HR-менеджер,нет,"1 г., 5 мес.,3 дн.",Женский,23
3210,SU198194,Департамент телекоммуникаций,Сервис,Первая линия,Стажер,нет,"0 г., 8 мес.,25 дн.",Мужской,23
3211,SU67083,Департамент телекоммуникаций,,группа технических менеджеров,Старший технический менеджер,нет,"11 г., 3 мес.,10 дн.",Мужской,42
3212,SU191104,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Ведущий системный инженер,нет,"2 г., 0 мес.,27 дн.",Мужской,36
3214,SU90914,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,"Старший инженер технической поддержки, Тимлид",ТЛ,"7 г., 8 мес.,29 дн.",Мужской,34
3227,SU168542,Департамент продаж и менеджмента проектов,,группа управления проектами по разработке программных решений,"Старший менеджер проектов, Тимлид",ТЛ,"3 г., 1 мес.,25 дн.",Мужской,34
3233,SU196672,Департамент по работе с персоналом,,Корпоративная культура,Старший менеджер по развитию корпоративной культуры,нет,"1 г., 5 мес.,15 дн.",Женский,23
3238,SU62810,Департамент инфраструктурных решений и сервисов,,группа SRE-инженеров,Руководитель группы,РМ,"11 г., 9 мес.,4 дн.",Мужской,33
