,Дата оформления заказа,Код сотрудника,Департамент,Наименование товара,Стоимость в валюте,Скидка,Количество,Категория,Статус товара
24361,13.12.2022 10:14,SU195407,ДИРС.группа обеспечения сервисных контрактов, Welcome-набор с чехлом и футболкой ,0,0,1,Без категории,закончился
24362,13.12.2022 9:33,SU172323,ДМ.контакт-центр,Подписка Яндекс плюс  ,700,0,1,Поймай баланс,закончился
24367,12.12.2022 16:28,SU74488,ДРПО.Интеграционные решения,Подписка Яндекс плюс  ,700,0,1,Поймай баланс,закончился
24371,12.12.2022 13:34,SU163534,ДИРС.Информационная безопасность.группа аналитиков по информационной безопасности,Кофе коллеге,200,0,1,Лучше вместе,закончился
24375,12.12.2022 12:43,SU2101,ДРП.HR-партнеры,Кофе коллеге,200,0,1,Лучше вместе,закончился
24380,12.12.2022 11:52,SU173162,ДБП.группа консультантов по автоматизации бизнес-процессов,Кофе коллеге,200,0,1,Лучше вместе,закончился
24384,12.12.2022 11:01,SU156986,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Кофе КРОК ,200,0,1,Сервис,закончился
24387,12.12.2022 9:56,SU160950,ДИРС.Информационная безопасность.группа инженеров по сетевой безопасности,Кофе КРОК ,200,0,1,Сервис,закончился
24393,09.12.2022 19:05,SU102439,ДИРС.группа технических менеджеров по вычислительной инфраструктуре,Футболка Облака КРОК,600,0,1,В стиле КРОК,закончился
24397,09.12.2022 14:09,SU78964,ДРП.отдел кадров,"Значок ""Вершины"" ",0,0,1,Лучше вместе,на витрине
24398,09.12.2022 11:50,SU163965,ДИМС.группа СКС и Автоматизации инженерных систем, Welcome-набор с кружкой и футболкой ,0,0,1,Без категории,закончился
24401,09.12.2022 9:37,SU189913,ДИРС.Информационная безопасность.группа аналитиков по информационной безопасности,Боброклад,0,0,1,Без категории,закончился
24405,08.12.2022 20:12,SU47737,ДПМП.группа администраторов проектов по инженерным и мультимедийным системам,Кофе КРОК ,200,0,1,Сервис,закончился
24408,08.12.2022 14:11,SU100524,"АЭД.служба охраны труда, пожарной безопасности и гражданской обороны",Кофе коллеге,200,0,1,Лучше вместе,закончился
24413,08.12.2022 11:13,SU195113,ДИРС.группа инженеров по вычислительной инфраструктуре, Welcome-набор с чехлом и футболкой ,0,0,1,Без категории,закончился
24436,07.12.2022 11:32,SU78964,ДРП.отдел кадров,Кофе коллеге,200,0,1,Лучше вместе,закончился
24437,07.12.2022 11:21,SU195213,ДИРС.группа инженеров по вычислительной инфраструктуре, Welcome-набор с чехлом и футболкой ,0,0,1,Без категории,закончился
24439,07.12.2022 9:22,SU1337,ДРПО.ГИС.цифровые экосистемы.группа технических менеджеров,Вечер у камина (ужин с командой),2500,0,1,Новогодние атрибуты,закончился
24441,06.12.2022 21:16,SU319,ДТК.Цифровое производство.группа инженеров цифрового производства,Вечер у камина (ужин с командой),3750,0,1,Новогодние атрибуты,закончился
24443,06.12.2022 19:58,SU41543,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,"Значок ""Вершины"" ",0,0,1,Лучше вместе,на витрине
24446,06.12.2022 15:33,SU3224,Служба сопровождения проектной документации,Бомбер Облака КРОК,1300,0,1,В стиле КРОК,закончился
24452,06.12.2022 11:07,SU107761,ДИМС.группа инженеров по мультимедийным системам,Бомбер Облака КРОК,1300,0,1,В стиле КРОК,закончился
24453,06.12.2022 10:57,SU135732,ДИРС.Разработка инфраструктурных продуктов.группа продвижения решений,Бомбер Облака КРОК,1300,0,1,В стиле КРОК,закончился
24456,05.12.2022 17:44,SU162213,ДИРС.Информационная безопасность.группа инженеров технической поддержки по информационной безопасности,Подписка Яндекс плюс  ,700,0,1,Поймай баланс,закончился
24460,05.12.2022 14:04,SU64651,ДИРС.группа поддержки продаж решений по программной инфраструктуре,Вечер у камина (ужин с командой),3750,0,1,Новогодние атрибуты,закончился
24462,05.12.2022 12:29,SU86537,ПД.группа комплексного сопровождения проектов,Кофе КРОК ,200,0,1,Сервис,закончился
24463,05.12.2022 12:28,SU86537,ПД.группа комплексного сопровождения проектов,Кофе коллеге,200,0,1,Лучше вместе,закончился
24464,05.12.2022 12:02,SU49779,ДТК.Сервис.группа управления сервисными проектами,Командный сет пицц,3000,0,2,Лучше вместе,закончился
24466,05.12.2022 10:31,SU156986,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Подписка Яндекс плюс  ,700,0,1,Поймай баланс,закончился
24467,05.12.2022 10:09,SU156986,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Кофе коллеге,400,0,2,Лучше вместе,закончился
24471,02.12.2022 16:07,SU136264,ДВА.центральная служба технической поддержки,Фикус в горшке с автополивом,3500,0,1,Сервис,закончился
24475,02.12.2022 12:41,SU194851,ДИРС.группа поддержки продаж решений по программной инфраструктуре, Welcome-набор с чехлом и футболкой ,0,0,1,Без категории,закончился
24476,02.12.2022 12:38,SU190411,ДРП.отдел кадров,Кофе коллеге,200,0,1,Лучше вместе,закончился
24480,02.12.2022 10:20,SU86966,ДИРС.Информационная безопасность.группа технических менеджеров по информационной безопасности,Литрес,400,0,1,Развивай себя,закончился
24481,02.12.2022 10:13,SU155295,ДВА.центральная служба технической поддержки,Кофе КРОК ,200,0,1,Сервис,закончился
24488,01.12.2022 16:03,SU85286,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,Кофе коллеге,200,0,1,Лучше вместе,закончился
24495,01.12.2022 14:21,SU86537,ПД.группа комплексного сопровождения проектов,Кофе КРОК ,200,0,1,Сервис,закончился
24498,01.12.2022 13:05,SU1242,ДРП.отдел кадров,Пожелание для коллеги на плазме,55,0,1,Лучше вместе,закончился
24501,01.12.2022 10:39,SU135732,ДИРС.Разработка инфраструктурных продуктов.группа продвижения решений,Кофе коллеге,200,0,1,Лучше вместе,закончился
24509,30.11.2022 18:30,SU104387,ДВА.группа разработки инфраструктурных приложений,"Значок ""Путь""",0,0,1,Лучше вместе,на витрине
24510,30.11.2022 18:23,SU167484,ДТК.Сервис.Первая линия,"Значок ""Маяк""",0,0,1,Лучше вместе,на витрине
24512,30.11.2022 17:32,SU146744,ДПМП.группа администраторов BackOffice,Кофе КРОК ,200,0,1,Сервис,закончился
24513,30.11.2022 17:21,SU93613,ДМ.контакт-центр,Онлайн-сессия с психологом Ясно,2250,0,1,Поймай баланс,закончился
24521,30.11.2022 12:53,SU168342,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,Кофе КРОК ,200,0,1,Сервис,закончился
24523,30.11.2022 10:40,SU112065,ДИРС.Облачные сервисы.группа специалистов поддержки ИТ-инфраструктур,"Значок ""Компас""",0,0,1,Лучше вместе,на витрине
24527,29.11.2022 18:20,SU100415,ДИРС.Разработка инфраструктурных продуктов.группа маркетинга,Пожелание для коллеги на плазме,55,0,1,Лучше вместе,закончился
24531,29.11.2022 10:57,SU194884,ДВА.центральная служба технической поддержки, Welcome-набор с кружкой и футболкой ,0,0,1,Без категории,закончился
24535,29.11.2022 10:17,SU195094,ДМ.группа цифрового маркетинга, Welcome-набор с кружкой и футболкой ,0,0,1,Без категории,закончился
24536,29.11.2022 10:15,SU112065,ДИРС.Облачные сервисы.группа специалистов поддержки ИТ-инфраструктур, Welcome-набор с кружкой и футболкой ,0,0,1,Без категории,закончился
24537,29.11.2022 9:49,SU47737,ДПМП.группа администраторов проектов по инженерным и мультимедийным системам,Кофе КРОК ,200,0,1,Сервис,закончился
24539,28.11.2022 18:35,SU148060,ДТК.Сервис.группа техподдержки сетей передачи данных,"Значок ""Компас""",0,0,1,Лучше вместе,на витрине
24540,28.11.2022 18:20,SU145719,ДТК.группа технических менеджеров,Подписка Яндекс плюс  ,700,0,1,Поймай баланс,закончился
24541,28.11.2022 17:58,SU1689,ДИРС.группа поддержки продаж решений по вычислительной инфраструктуре,Фикус в горшке с автополивом,7000,0,2,Сервис,закончился
24559,27.11.2022 14:26,SU184892,ДТК.Сервис.группа техподдержки сетей передачи данных,"Футболка ""В команде КРОК"" ̶1̶1̶0̶0̶",650,0,1,В стиле КРОК,закончился
24568,25.11.2022 22:54,SU89907,ДРПО.ГИС.росстат.группа тестировщиков,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24577,25.11.2022 20:42,SU72082,ДРП,Посадим дерево вместе,150,0,1,Сервис,закончился
24578,25.11.2022 20:36,SU154792,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Кепка КРОК ̶3̶0̶0̶ ,80,0,2,В стиле КРОК,закончился
24588,25.11.2022 18:59,SU193448,ДРПО.ГИС.цифровые экосистемы.группа тестировщиков,Портативная колонка GEO ̶1̶5̶0̶0̶,650,0,1,Прокачай эффективность,закончился
24593,25.11.2022 18:51,SU2362,ДИРС.группа технических менеджеров по вычислительной инфраструктуре,Лотерейный билет на Кресло КРОК,250,0,5,Сервис,закончился
24594,25.11.2022 18:50,SU2362,ДИРС.группа технических менеджеров по вычислительной инфраструктуре,Лотерейный билет на Черный пуф КРОК,150,0,5,В стиле КРОК,закончился
24596,25.11.2022 18:45,SU193448,ДРПО.ГИС.цифровые экосистемы.группа тестировщиков,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24603,25.11.2022 18:33,SU44113,ДВА.группа разработки 1С,"Футболка ""В команде КРОК"" ̶1̶1̶0̶0̶",650,0,1,В стиле КРОК,закончился
24611,25.11.2022 18:26,SU44113,ДВА.группа разработки 1С,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24612,25.11.2022 18:25,SU49670,ДТК.группа унифицированных коммуникаций,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24620,25.11.2022 18:22,SU132315,ДИРС.группа инженеров технической поддержки,"Футболка ""Интегрируем будущее"" 8̶0̶0̶ ",350,0,1,В стиле КРОК,закончился
24622,25.11.2022 18:21,SU49670,ДТК.группа унифицированных коммуникаций,"Футболка ""Надо собраться""1̶3̶0̶0̶ ",600,0,1,В стиле КРОК,закончился
24623,25.11.2022 18:20,SU132315,ДИРС.группа инженеров технической поддержки,Футболка CROC x ZASPORT ̶5̶0̶0̶,500,0,2,В стиле КРОК,закончился
24626,25.11.2022 18:19,SU132315,ДИРС.группа инженеров технической поддержки,Кепка КРОК ̶3̶0̶0̶ ,80,0,2,В стиле КРОК,закончился
24629,25.11.2022 18:17,SU101059,ДИРС.Информационная безопасность.группа инженеров технической поддержки по информационной безопасности,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24630,25.11.2022 18:17,SU163534,ДИРС.Информационная безопасность.группа аналитиков по информационной безопасности,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24632,25.11.2022 18:17,SU132315,ДИРС.группа инженеров технической поддержки,Кепка КРОК ̶3̶0̶0̶ ,80,0,2,В стиле КРОК,закончился
24633,25.11.2022 18:17,SU187113,ДИРС.группа инженеров систем управления ИТ-процессами,Лотерейный билет на Кресло КРОК,100,0,2,Сервис,закончился
24634,25.11.2022 18:16,SU187113,ДИРС.группа инженеров систем управления ИТ-процессами,Лотерейный билет на Черный пуф КРОК,60,0,2,В стиле КРОК,закончился
24636,25.11.2022 18:16,SU187113,ДИРС.группа инженеров систем управления ИТ-процессами,Портативная колонка GEO ̶1̶5̶0̶0̶,650,0,1,Прокачай эффективность,закончился
24637,25.11.2022 18:15,SU41089,ДРПО.Управление контентом и документооборот.группа разработчиков,Умный трекер для отслеживания вещей ̶1̶6̶0̶0̶,1000,0,1,Поймай баланс,закончился
24638,25.11.2022 18:15,SU41089,ДРПО.Управление контентом и документооборот.группа разработчиков,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24642,25.11.2022 18:14,SU169662,ДРПО.Управление контентом и документооборот.группа внедренцев,Посадим дерево вместе,150,0,1,Сервис,закончился
24645,25.11.2022 18:13,SU169662,ДРПО.Управление контентом и документооборот.группа внедренцев,"Футболка ""В команде КРОК"" ̶1̶1̶0̶0̶",650,0,1,В стиле КРОК,закончился
24649,25.11.2022 18:11,SU93814,ДИРС.группа инженеров по вычислительной инфраструктуре,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24653,25.11.2022 18:11,SU99066,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,Лотерейный билет на Кресло КРОК,200,0,4,Сервис,закончился
24655,25.11.2022 18:11,SU173251,ДИМС.Группа электроснабжения и климатических систем,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24656,25.11.2022 18:11,SU99066,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,Лотерейный билет на Черный пуф КРОК,150,0,5,В стиле КРОК,закончился
24661,25.11.2022 18:10,SU99835,ДПМП.ОРК,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24662,25.11.2022 18:10,SU187392,ДБП.группа аналитиков по автоматизации бизнес-процессов,Лотерейный билет на Черный пуф КРОК,150,0,5,В стиле КРОК,закончился
24664,25.11.2022 18:10,SU173251,ДИМС.Группа электроснабжения и климатических систем,Лотерейный билет на Черный пуф КРОК,60,0,2,В стиле КРОК,закончился
24669,25.11.2022 18:04,SU125577,ПД.группа комплексного сопровождения проектов,Лотерейный билет на Кресло КРОК,250,0,5,Сервис,закончился
24670,25.11.2022 18:04,SU1575,ДРПО.Управление контентом и документооборот.группа внедренцев,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24671,25.11.2022 18:03,SU125577,ПД.группа комплексного сопровождения проектов,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24672,25.11.2022 18:03,SU93814,ДИРС.группа инженеров по вычислительной инфраструктуре,"Набор футболок ""Ничего, кроме приключений"" ̶1̶0̶5̶0̶",400,0,1,В стиле КРОК,закончился
24675,25.11.2022 17:58,SU158754,Служба качества,"Набор футболок ""Ничего, кроме приключений"" ̶1̶0̶5̶0̶",400,0,1,В стиле КРОК,закончился
24677,25.11.2022 17:56,SU48062,ФД.группа финансовых партнеров,"Футболка ""В команде КРОК"" ̶1̶1̶0̶0̶",650,0,1,В стиле КРОК,закончился
24681,25.11.2022 17:48,SU150226,ДБП.группа разработки по Data и DWH,Беспроводные наушники Xiaomi ,1400,0,1,Прокачай эффективность,закончился
24683,25.11.2022 17:46,SU169155,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,Кепка КРОК ̶3̶0̶0̶ ,160,0,4,В стиле КРОК,закончился
24689,25.11.2022 17:32,SU1199,ДИРС.Информационная безопасность.группа аналитиков по информационной безопасности,Портативная колонка GEO ̶1̶5̶0̶0̶,650,0,1,Прокачай эффективность,закончился
24691,25.11.2022 17:30,SU1199,ДИРС.Информационная безопасность.группа аналитиков по информационной безопасности,"Футболка ""Надо собраться""1̶3̶0̶0̶ ",600,0,1,В стиле КРОК,закончился
24692,25.11.2022 17:30,SU157868,ДИРС.Информационная безопасность.Центр мониторинга безопасности,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24694,25.11.2022 17:23,SU154810,ДИРС.Информационная безопасность.группа развития бизнеса,Невидимое кресло,10,0,1,Сервис,закончился
24703,25.11.2022 17:01,SU236,ДРПО.Управление контентом и документооборот.группа аналитиков,Беспроводные наушники Xiaomi ,1400,0,1,Прокачай эффективность,закончился
24716,25.11.2022 16:18,SU191166,ДБП.группа аналитиков и консультантов по внедрению Big Data и BI,"Футболка ""Надо собраться""1̶3̶0̶0̶ ",600,0,1,В стиле КРОК,закончился
24717,25.11.2022 16:15,SU3502,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24718,25.11.2022 16:15,SU3502,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24720,25.11.2022 16:11,SU152323,ДВА.группа разработки 1С,Невидимое кресло,10,0,1,Сервис,закончился
24725,25.11.2022 16:02,SU171484,ДБП.группа консультантов по финансам,"Футболка ""Интегрируем будущее"" 8̶0̶0̶ ",350,0,1,В стиле КРОК,закончился
24726,25.11.2022 15:59,SU126042,ДПМП.группа управления проектами по инженерным и мультимедийным системам,"Футболка ""В команде КРОК"" ̶1̶1̶0̶0̶",650,0,1,В стиле КРОК,закончился
24728,25.11.2022 15:54,SU189931,ДИРС.группа инженеров по инфраструктурному ПО,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24729,25.11.2022 15:54,SU171484,ДБП.группа консультантов по финансам,"Футболка ""Надо собраться""1̶3̶0̶0̶ ",600,0,1,В стиле КРОК,закончился
24730,25.11.2022 15:54,SU194664,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24747,25.11.2022 15:39,SU130289,ДРПО.Управление контентом и документооборот.группа разработчиков,Умный трекер для отслеживания вещей ̶1̶6̶0̶0̶,1000,0,1,Поймай баланс,закончился
24751,25.11.2022 15:36,SU170142,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Лотерейный билет на Кресло КРОК,500,0,10,Сервис,закончился
24752,25.11.2022 15:35,SU170142,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Лотерейный билет на Черный пуф КРОК,300,0,10,В стиле КРОК,закончился
24755,25.11.2022 15:33,SU154792,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24757,25.11.2022 15:29,SU112309,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Невидимое кресло,10,0,1,Сервис,закончился
24758,25.11.2022 15:27,SU49347,ДРПО.Управление контентом и документооборот.группа внедренцев,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24759,25.11.2022 15:27,SU165854,ДИРС.группа клиентского сервиса,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24763,25.11.2022 15:25,SU100524,"АЭД.служба охраны труда, пожарной безопасности и гражданской обороны",Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24764,25.11.2022 15:24,SU112309,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24766,25.11.2022 15:22,SU50956,ДТК.Сервис.группа технической поддержки телефонии и Call-центров,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24768,25.11.2022 15:22,SU112309,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24770,25.11.2022 15:21,SU169155,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,Пуф Крок ,3000,0,1,В стиле КРОК,закончился
24771,25.11.2022 15:21,SU150841,ДПМП.группа управления проектами развития бизнес-процессов,Невидимое кресло,10,0,1,Сервис,закончился
24775,25.11.2022 15:19,SU67083,ДТК.группа технических менеджеров,Умный трекер для отслеживания вещей ̶1̶6̶0̶0̶,1000,0,1,Поймай баланс,закончился
24776,25.11.2022 15:19,SU67083,ДТК.группа технических менеджеров,Умный трекер для отслеживания вещей ̶1̶6̶0̶0̶,1000,0,1,Поймай баланс,закончился
24777,25.11.2022 15:19,SU49347,ДРПО.Управление контентом и документооборот.группа внедренцев,Портативная колонка GEO ̶1̶5̶0̶0̶,650,0,1,Прокачай эффективность,закончился
24779,25.11.2022 15:19,SU193840,"АЭД.служба охраны труда, пожарной безопасности и гражданской обороны",Лотерейный билет на Черный пуф КРОК,390,0,13,В стиле КРОК,закончился
24780,25.11.2022 15:18,SU49347,ДРПО.Управление контентом и документооборот.группа внедренцев,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24781,25.11.2022 15:17,SU192341,ДТК.Сервис.группа управления сервисными проектами,Невидимое кресло,10,0,1,Сервис,закончился
24782,25.11.2022 15:16,SU90392,ДМ.группа маркетинговых исследований,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24784,25.11.2022 15:15,SU189931,ДИРС.группа инженеров по инфраструктурному ПО,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24785,25.11.2022 15:14,SU116509,ДПМП.группа управления проектами по телекоммуникациям,Лотерейный билет на Кресло КРОК,500,0,10,Сервис,закончился
24786,25.11.2022 15:13,SU116509,ДПМП.группа управления проектами по телекоммуникациям,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24787,25.11.2022 15:13,SU189931,ДИРС.группа инженеров по инфраструктурному ПО,"Футболка белая ""Ничего, кроме приключений"" 6̶0̶0̶ ",350,0,1,В стиле КРОК,закончился
24788,25.11.2022 15:12,SU116509,ДПМП.группа управления проектами по телекоммуникациям,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24791,25.11.2022 15:11,SU110288,ДИРС.группа технических менеджеров по вычислительной инфраструктуре,Пуф Крок ,3000,0,1,В стиле КРОК,закончился
24792,25.11.2022 15:11,SU116509,ДПМП.группа управления проектами по телекоммуникациям,Фикус в горшке с автополивом,3500,0,1,Сервис,закончился
24793,25.11.2022 15:10,SU189931,ДИРС.группа инженеров по инфраструктурному ПО,Невидимое кресло,10,0,1,Сервис,закончился
24797,25.11.2022 15:07,SU94470,ДИМС.технические менеджеры по инженерным системам,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24801,25.11.2022 15:02,SU106878,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24804,25.11.2022 15:00,SU106878,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24812,25.11.2022 14:57,SU195,ДРПО.ГИС.росстат. группа аналитиков,"Футболка ""В команде КРОК"" ̶1̶1̶0̶0̶",650,0,1,В стиле КРОК,закончился
24813,25.11.2022 14:56,SU97024,ДИМС.группа СКС и Автоматизации инженерных систем,Клавиатура и мышь Logitech MK470,3450,0,1,Прокачай эффективность,закончился
24820,25.11.2022 14:54,SU193925,ДТК.Сервис.группа управления сервисными проектами,Невидимое кресло,10,0,1,Сервис,закончился
24823,25.11.2022 14:53,SU195,ДРПО.ГИС.росстат. группа аналитиков,Фикус в горшке с автополивом,3500,0,1,Сервис,закончился
24826,25.11.2022 14:52,SU49347,ДРПО.Управление контентом и документооборот.группа внедренцев,"Футболка белая ""Ничего, кроме приключений"" 6̶0̶0̶ ",350,0,1,В стиле КРОК,закончился
24827,25.11.2022 14:51,SU49347,ДРПО.Управление контентом и документооборот.группа внедренцев,"Футболка черная ""Ничего, кроме приключений"" 6̶0̶0̶ ",350,0,1,В стиле КРОК,закончился
24831,25.11.2022 14:48,SU1575,ДРПО.Управление контентом и документооборот.группа внедренцев,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24843,25.11.2022 14:44,SU71051,ДРПО.ГИС.суды. группа аналитиков и внедренцев,Гарнитура Logitech G432 ̶5̶4̶5̶0̶,4950,0,1,Прокачай эффективность,закончился
24844,25.11.2022 14:44,SU211,ДИРС.группа UNIX и Open Source,Беспроводные наушники Xiaomi Redmi Buds 3 ̶2̶7̶5̶0̶,5000,0,2,Прокачай эффективность,закончился
24848,25.11.2022 14:42,SU91746,ДВА.группа разработки 1С,Невидимое кресло,10,0,1,Сервис,закончился
24849,25.11.2022 14:42,SU190244,ДИРС.Информационная безопасность.группа инженеров технической поддержки по информационной безопасности,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24850,25.11.2022 14:42,SU190244,ДИРС.Информационная безопасность.группа инженеров технической поддержки по информационной безопасности,Лотерейный билет на Кресло КРОК,50,0,1,Сервис,закончился
24851,25.11.2022 14:42,SU100415,ДИРС.Разработка инфраструктурных продуктов.группа маркетинга,Невидимое кресло,10,0,1,Сервис,закончился
24856,25.11.2022 14:41,SU211,ДИРС.группа UNIX и Open Source,Портативная колонка GEO ̶1̶5̶0̶0̶,650,0,1,Прокачай эффективность,закончился
24864,25.11.2022 14:39,SU78964,ДРП.отдел кадров,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24867,25.11.2022 14:39,SU173162,ДБП.группа консультантов по автоматизации бизнес-процессов,Пуф Крок ,3000,0,1,В стиле КРОК,закончился
24870,25.11.2022 14:37,SU173162,ДБП.группа консультантов по автоматизации бизнес-процессов,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24871,25.11.2022 14:37,SU101142,ДИРС.группа инженеров по вычислительной инфраструктуре,Беспроводные наушники Xiaomi Redmi Buds 3 ̶2̶7̶5̶0̶,2500,0,1,Прокачай эффективность,закончился
24872,25.11.2022 14:37,SU162218,ДВА.центральная служба технической поддержки,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24875,25.11.2022 14:36,SU96963,ДИМС.технические менеджеры по мультимедийным системам,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24876,25.11.2022 14:35,SU110288,ДИРС.группа технических менеджеров по вычислительной инфраструктуре,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24880,25.11.2022 14:34,SU163713,ДИРС.группа инженеров по вычислительной инфраструктуре,"Футболка ""В команде КРОК"" ̶1̶1̶0̶0̶",650,0,1,В стиле КРОК,закончился
24883,25.11.2022 14:34,SU110288,ДИРС.группа технических менеджеров по вычислительной инфраструктуре,Гарнитура Logitech G432 ̶5̶4̶5̶0̶,4950,0,1,Прокачай эффективность,закончился
24888,25.11.2022 14:32,SU171291,ДИРС.Разработка инфраструктурных продуктов.группа разработки,"Футболка ""В команде КРОК"" ̶1̶1̶0̶0̶",650,0,1,В стиле КРОК,закончился
24891,25.11.2022 14:32,SU96963,ДИМС.технические менеджеры по мультимедийным системам,Невидимое кресло,10,0,1,Сервис,закончился
24893,25.11.2022 14:32,SU130789,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,"Футболка белая ""Ничего, кроме приключений"" 6̶0̶0̶ ",350,0,1,В стиле КРОК,закончился
24896,25.11.2022 14:32,SU157666,ДПМП.группа управления проектами по телекоммуникациям,Пуф Крок ,3000,0,1,В стиле КРОК,закончился
24898,25.11.2022 14:32,SU130789,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,"Футболка ""В команде КРОК"" ̶1̶1̶0̶0̶",650,0,1,В стиле КРОК,закончился
24901,25.11.2022 14:31,SU85286,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,"Футболка ""В команде КРОК"" ̶1̶1̶0̶0̶",650,0,1,В стиле КРОК,закончился
24903,25.11.2022 14:31,SU96963,ДИМС.технические менеджеры по мультимедийным системам,Кепка КРОК ̶3̶0̶0̶ ,40,0,1,В стиле КРОК,закончился
24904,25.11.2022 14:30,SU163954,ДРП.отдел рекрутинга,"Футболка ""В команде КРОК"" ̶1̶1̶0̶0̶",650,0,1,В стиле КРОК,закончился
24909,25.11.2022 14:29,SU2531,ДРПО.ГИС.росстат. группа технических менеджеров,Лотерейный билет на Черный пуф КРОК,30,0,1,В стиле КРОК,закончился
24911,25.11.2022 14:28,SU90392,ДМ.группа маркетинговых исследований,Футболка CROC x ZASPORT ̶5̶0̶0̶,250,0,1,В стиле КРОК,закончился
24912,25.11.2022 14:28,SU72746,ДТК.Сервис.группа развития,Невидимое кресло,10,0,1,Сервис,закончился
